Title,Abstract,Journal,Processed_Abstract
Advancing burn wound treatment: exploring hydrogel as a transdermal drug delivery system.,"Burn injuries are prevalent and life-threatening forms that contribute significantly to mortality rates due to associated wound infections. The management of burn wounds presents substantial challenges. Hydrogel exhibits tremendous potential as an ideal alternative to traditional wound dressings such as gauze. This is primarily attributed to its three-dimensional (3D) crosslinked polymer network, which possesses a high water content, fostering a moist environment that supports effective burn wound healing. Additionally, hydrogel facilitates the penetration of loaded therapeutic agents throughout the wound surface, combating burn wound pathogens through the hydration effect and thereby enhancing the healing process. However, the presence of eschar formation on burn wounds obstructs the passive diffusion of therapeutics, impairing the efficacy of hydrogel as a wound dressing, particularly in cases of severe burns involving deeper tissue damage. This review focuses on exploring the potential of hydrogel as a carrier for transdermal drug delivery in burn wound treatment. Furthermore, strategies aimed at enhancing the transdermal delivery of therapeutic agents from hydrogel to optimize burn wound healing are also discussed.",Drug delivery,"['burn', 'injury', 'prevalent', 'life', 'threaten', 'form', 'contribute', 'significantly', 'mortality', 'rate', 'due', 'associate', 'wound', 'infection', 'management', 'burn', 'wound', 'present', 'substantial', 'challenge', 'hydrogel', 'exhibit', 'tremendous', 'potential', 'ideal', 'alternative', 'traditional', 'wound', 'dressing', 'gauze', 'primarily', 'attribute', 'three', 'dimensional', '3d', 'crosslinke', 'polymer', 'network', 'possess', 'high', 'water', 'content', 'foster', 'moist', 'environment', 'support', 'effective', 'burn', 'wound', 'healing', 'additionally', 'hydrogel', 'facilitate', 'penetration', 'load', 'therapeutic', 'agent', 'throughout', 'wound', 'surface', 'combat', 'burn', 'wound', 'pathogen', 'hydration', 'effect', 'thereby', 'enhance', 'healing', 'process', 'however', 'presence', 'eschar', 'formation', 'burn', 'wound', 'obstruct', 'passive', 'diffusion', 'therapeutic', 'impair', 'efficacy', 'hydrogel', 'wound', 'dress', 'particularly', 'case', 'severe', 'burn', 'involve', 'deep', 'tissue', 'damage', 'review', 'focus', 'explore', 'potential', 'hydrogel', 'carrier', 'transdermal', 'drug', 'delivery', 'burn', 'wound', 'treatment', 'furthermore', 'strategy', 'aim', 'enhance', 'transdermal', 'delivery', 'therapeutic', 'agent', 'hydrogel', 'optimize', 'burn', 'wound', 'healing', 'also', 'discuss']"
Epigenetics of neural repair following spinal cord injury.,"Spinal cord injury results from an insult inflicted on the spinal cord that usually encompasses its 4 major functions (motor, sensory, autonomic, and reflex). The type of deficits resulting from spinal cord injury arise from primary insult, but their long-term severity is due to a multitude of pathophysiological processes during the secondary phase of injury. The failure of the mammalian spinal cord to regenerate and repair is often attributed to the very feature that makes the central nervous system special-it becomes so highly specialized to perform higher functions that it cannot effectively reactivate developmental programs to re-build novel circuitry to restore function after injury. Added to this is an extensive gliotic and immune response that is essential for clearance of cellular debris, but also lays down many obstacles that are detrimental to regeneration. Here, we discuss how the mature chromatin state of different central nervous system cells (neural, glial, and immune) may contribute to secondary pathophysiology, and how restoring silenced developmental gene expression by altering histone acetylation could stall secondary damage and contribute to novel approaches to stimulate endogenous repair.",Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,"['spinal', 'cord', 'injury', 'result', 'insult', 'inflict', 'spinal', 'cord', 'usually', 'encompass', '4', 'major', 'function', 'motor', 'sensory', 'autonomic', 'reflex', 'type', 'deficit', 'result', 'spinal', 'cord', 'injury', 'arise', 'primary', 'insult', 'long', 'term', 'severity', 'due', 'multitude', 'pathophysiological', 'process', 'secondary', 'phase', 'injury', 'failure', 'mammalian', 'spinal', 'cord', 'regenerate', 'repair', 'often', 'attribute', 'feature', 'make', 'central', 'nervous', 'system', 'special', 'become', 'highly', 'specialized', 'perform', 'high', 'function', 'effectively', 'reactivate', 'developmental', 'program', 'build', 'novel', 'circuitry', 'restore', 'function', 'injury', 'add', 'extensive', 'gliotic', 'immune', 'response', 'essential', 'clearance', 'cellular', 'debris', 'also', 'lay', 'many', 'obstacle', 'detrimental', 'regeneration', 'discuss', 'mature', 'chromatin', 'state', 'different', 'central', 'nervous', 'system', 'cell', 'neural', 'glial', 'immune', 'may', 'contribute', 'secondary', 'pathophysiology', 'restore', 'silence', 'developmental', 'gene', 'expression', 'alter', 'histone', 'acetylation', 'could', 'stall', 'secondary', 'damage', 'contribute', 'novel', 'approach', 'stimulate', 'endogenous', 'repair']"
Kdm6a-CNN1 axis orchestrates epigenetic control of trauma-induced spinal cord microvascular endothelial cell senescence to balance neuroinflammation for improved neurological repair.,"Cellular senescence assumes pivotal roles in various diseases through the secretion of proinflammatory factors. Despite extensive investigations into vascular senescence associated with aging and degenerative diseases, the molecular mechanisms governing microvascular endothelial cell senescence induced by traumatic stress, particularly its involvement in senescence-induced inflammation, remain insufficiently elucidated. In this study, we present a comprehensive demonstration and characterization of microvascular endothelial cell senescence induced by spinal cord injury (SCI). Lysine demethylase 6A (Kdm6a), commonly known as UTX, emerges as a crucial regulator of cell senescence in injured spinal cord microvascular endothelial cells (SCMECs). Upregulation of UTX induces senescence in SCMECs, leading to an amplified release of proinflammatory factors, specifically the senescence-associated secretory phenotype (SASP) components, thereby modulating the inflammatory microenvironment. Conversely, the deletion of UTX in endothelial cells shields SCMECs against senescence, mitigates the release of proinflammatory SASP factors, and promotes neurological functional recovery after SCI. UTX forms an epigenetic regulatory axis by binding to calponin 1 (CNN1), orchestrating trauma-induced SCMECs senescence and SASP secretion, thereby influencing neuroinflammation and neurological functional repair. Furthermore, local delivery of a senolytic drug reduces senescent SCMECs and suppresses proinflammatory SASP secretion, reinstating a local regenerative microenvironment and enhancing functional repair after SCI. In conclusion, targeting the UTX-CNN1 epigenetic axis to prevent trauma-induced SCMECs senescence holds the potential to inhibit SASP secretion, alleviate neuroinflammation, and provide a novel treatment strategy for SCI repair.",Bone research,"['cellular', 'senescence', 'assume', 'pivotal', 'role', 'various', 'disease', 'secretion', 'proinflammatory', 'factor', 'despite', 'extensive', 'investigation', 'vascular', 'senescence', 'associate', 'age', 'degenerative', 'disease', 'molecular', 'mechanism', 'govern', 'microvascular', 'endothelial', 'cell', 'senescence', 'induce', 'traumatic', 'stress', 'particularly', 'involvement', 'senescence', 'induce', 'inflammation', 'remain', 'insufficiently', 'elucidate', 'study', 'present', 'comprehensive', 'demonstration', 'characterization', 'microvascular', 'endothelial', 'cell', 'senescence', 'induce', 'spinal', 'cord', 'injury', 'sci', 'lysine', 'demethylase', '6a', 'kdm6a', 'commonly', 'know', 'utx', 'emerge', 'crucial', 'regulator', 'cell', 'senescence', 'injure', 'spinal', 'cord', 'microvascular', 'endothelial', 'cell', 'scmecs', 'upregulation', 'utx', 'induce', 'senescence', 'scmecs', 'lead', 'amplify', 'release', 'proinflammatory', 'factor', 'specifically', 'senescence', 'associate', 'secretory', 'phenotype', 'sasp', 'component', 'thereby', 'modulate', 'inflammatory', 'microenvironment', 'conversely', 'deletion', 'utx', 'endothelial', 'cell', 'shield', 'scmecs', 'senescence', 'mitigate', 'release', 'proinflammatory', 'sasp', 'factor', 'promote', 'neurological', 'functional', 'recovery', 'sci', 'utx', 'form', 'epigenetic', 'regulatory', 'axis', 'bind', 'calponin', '1', 'cnn1', 'orchestrate', 'trauma', 'induce', 'scmecs', 'senescence', 'sasp', 'secretion', 'thereby', 'influence', 'neuroinflammation', 'neurological', 'functional', 'repair', 'furthermore', 'local', 'delivery', 'senolytic', 'drug', 'reduce', 'senescent', 'scmecs', 'suppresse', 'proinflammatory', 'sasp', 'secretion', 'reinstate', 'local', 'regenerative', 'microenvironment', 'enhance', 'functional', 'repair', 'sci', 'conclusion', 'target', 'utx', 'cnn1', 'epigenetic', 'axis', 'prevent', 'trauma', 'induce', 'scmecs', 'senescence', 'hold', 'potential', 'inhibit', 'sasp', 'secretion', 'alleviate', 'neuroinflammation', 'provide', 'novel', 'treatment', 'strategy', 'sci', 'repair']"
S100A8 regulates autophagy-dependent ferroptosis in microglia after experimental subarachnoid hemorrhage.,"Targeting microglial activation has been shown to ameliorate early brain injury (EBI) after subarachnoid hemorrhage (SAH). Ferroptosis is a new form of programmed cell death after SAH, but these molecular features were not recognized as evidence of microglial function so far. In this study, we constructed microglial S100A8-specific knockdown and established the SAH model in vivo and in vitro. Multi-technology strategies, including high throughput sequencing, adeno-associated virus gene gene-editing and several molecular biotechnologies to validate the effects of S100A8 on microglial autophagy and ferroptosis after SAH. Our results revealed that the expression of S100A8 was significantly increased in brain tissue after SAH. Targeted microglial S100A8 inhibition improved neural function and neuronal apoptosis in mice after SAH. Further mechanism exploration found that favourable effects of S100A8 depletion in EBI may be through the inhibition of microglia autophagy-dependent ferroptosis. In conclusion, S100A8 may be a potential intervention target for microglial ferroptosis in EBI after SAH.",Experimental neurology,"['target', 'microglial', 'activation', 'show', 'ameliorate', 'early', 'brain', 'injury', 'ebi', 'subarachnoid', 'hemorrhage', 'sah', 'ferroptosis', 'new', 'form', 'program', 'cell', 'death', 'sah', 'molecular', 'feature', 'recognize', 'evidence', 'microglial', 'function', 'far', 'study', 'construct', 'microglial', 's100a8', 'specific', 'knockdown', 'establish', 'sah', 'model', 'vivo', 'vitro', 'multi', 'technology', 'strategy', 'include', 'high', 'throughput', 'sequence', 'adeno', 'associated', 'virus', 'gene', 'gene', 'edit', 'several', 'molecular', 'biotechnology', 'validate', 'effect', 's100a8', 'microglial', 'autophagy', 'ferroptosis', 'sah', 'result', 'reveal', 'expression', 's100a8', 'significantly', 'increase', 'brain', 'tissue', 'sah', 'target', 'microglial', 's100a8', 'inhibition', 'improve', 'neural', 'function', 'neuronal', 'apoptosis', 'mice', 'sah', 'mechanism', 'exploration', 'find', 'favourable', 'effect', 's100a8', 'depletion', 'ebi', 'may', 'inhibition', 'microglia', 'autophagy', 'dependent', 'ferroptosis', 'conclusion', 's100a8', 'may', 'potential', 'intervention', 'target', 'microglial', 'ferroptosis', 'ebi', 'sah']"
UTX deletion promotes M2 macrophage polarization by epigenetically regulating endothelial cell-macrophage crosstalk after spinal cord injury.,"Macrophages polarized to the M2 subtype after spinal cord injury (SCI) are beneficial for promoting neurological recovery. The crosstalk between endothelial cells (ECs) and macrophages is crucial for the imbalance between proinflammatory and pro-resolving responses caused by macrophage heterogeneity; however, this crosstalk is strengthened post-SCI, leading to inflammatory cascades and second damage. As a powerful means to regulate gene expression, epigenetic regulation of the interaction between immune cells and ECs in SCI is still largely unknown. Our previous research demonstrated that the histone demethylase UTX deletion in ECs (UTX<sup>-/-</sup> ECs) promotes neurological recovery, while the precise mechanism is unrevealed. Here, we discovered that UTX<sup>-/-</sup> ECs polarize macrophages toward the M2 subtype post-SCI. Macrophage deficiency could block the neurological recovery caused by the knockdown of UTX. The exosomes from UTX<sup>-/-</sup> ECs mediate this crosstalk. In addition, we found UTX, H3K27, and miR-467b-3p/Sfmbt2 promoters forming a regulatory complex that upregulates the miR-467b-3p in UTX<sup>-/-</sup> ECs. And then, miR-467b-3p transfers to macrophages by exosomes and activates the PI3K/AKT/mTOR signaling by decreasing PTEN expression, finally polarizing macrophage to the M2 subtype. This study reveals a mechanism by epigenetic regulation of ECs-macrophages crosstalk and identifies potential targets, which may provide opportunities for treating SCI.",Journal of nanobiotechnology,"['macrophage', 'polarize', 'm2', 'subtype', 'spinal', 'cord', 'injury', 'sci', 'beneficial', 'promote', 'neurological', 'recovery', 'crosstalk', 'endothelial', 'cell', 'ec', 'macrophage', 'crucial', 'imbalance', 'proinflammatory', 'pro', 'resolve', 'response', 'cause', 'macrophage', 'heterogeneity', 'however', 'crosstalk', 'strengthen', 'post', 'sci', 'lead', 'inflammatory', 'cascade', 'second', 'damage', 'powerful', 'mean', 'regulate', 'gene', 'expression', 'epigenetic', 'regulation', 'interaction', 'immune', 'cell', 'ec', 'sci', 'still', 'largely', 'unknown', 'previous', 'research', 'demonstrate', 'histone', 'demethylase', 'utx', 'deletion', 'ec', 'utx', 'sup', 'sup', 'ecs', 'promote', 'neurological', 'recovery', 'precise', 'mechanism', 'unreveale', 'discover', 'utx', 'sup', 'sup', 'ecs', 'polarize', 'macrophage', 'toward', 'm2', 'subtype', 'post', 'sci', 'macrophage', 'deficiency', 'could', 'block', 'neurological', 'recovery', 'cause', 'knockdown', 'utx', 'exosome', 'utx', 'sup', 'sup', 'ecs', 'mediate', 'crosstalk', 'addition', 'find', 'utx', 'h3k27', 'mir', '467b', '3p', 'sfmbt2', 'promoter', 'form', 'regulatory', 'complex', 'upregulate', 'mir', '467b', '3p', 'utx', 'sup', 'sup', 'ecs', 'mir', '467b', '3p', 'transfer', 'macrophage', 'exosome', 'activate', 'pi3k', 'akt', 'mtor', 'signal', 'decrease', 'pten', 'expression', 'finally', 'polarize', 'macrophage', 'm2', 'subtype', 'study', 'reveal', 'mechanism', 'epigenetic', 'regulation', 'ec', 'macrophage', 'crosstalk', 'identify', 'potential', 'target', 'may', 'provide', 'opportunity', 'treat', 'sci']"
Exploring epigenetic strategies for the treatment of osteoporosis.,"The worldwide trend toward an aging population has resulted in a higher incidence of chronic conditions, such as osteoporosis. Osteoporosis, a prevalent skeletal disorder characterized by decreased bone mass and increased fracture risk, encompasses primary and secondary forms, each with distinct etiologies. Mechanistically, osteoporosis involves an imbalance between bone resorption by osteoclasts and bone formation by osteoblasts. Current pharmacological interventions for osteoporosis, such as bisphosphonates, denosumab, and teriparatide, aim to modulate bone turnover and preserve bone density. Hormone replacement therapy and lifestyle modifications are also recommended to manage the condition. While current medications offer therapeutic options, they are not devoid of limitations. Recent studies have highlighted the importance of epigenetic mechanisms, including DNA methylation and histone modifications, in regulating gene expression during bone remodeling. The use of epigenetic drugs, or epidrugs, to target these mechanisms offers a promising avenue for therapeutic intervention in osteoporosis. In this review, we comprehensively examine the recent advancements in the application of epidrugs for treating osteoporosis.",Molecular biology reports,"['worldwide', 'trend', 'toward', 'age', 'population', 'result', 'high', 'incidence', 'chronic', 'condition', 'osteoporosis', 'osteoporosis', 'prevalent', 'skeletal', 'disorder', 'characterize', 'decrease', 'bone', 'mass', 'increase', 'fracture', 'risk', 'encompass', 'primary', 'secondary', 'form', 'distinct', 'etiology', 'mechanistically', 'osteoporosis', 'involve', 'imbalance', 'bone', 'resorption', 'osteoclast', 'bone', 'formation', 'osteoblast', 'current', 'pharmacological', 'intervention', 'osteoporosis', 'bisphosphonate', 'denosumab', 'teriparatide', 'aim', 'modulate', 'bone', 'turnover', 'preserve', 'bone', 'density', 'hormone', 'replacement', 'therapy', 'lifestyle', 'modification', 'also', 'recommend', 'manage', 'condition', 'current', 'medication', 'offer', 'therapeutic', 'option', 'devoid', 'limitation', 'recent', 'study', 'highlight', 'importance', 'epigenetic', 'mechanism', 'include', 'dna', 'methylation', 'histone', 'modification', 'regulate', 'gene', 'expression', 'bone', 'remodeling', 'use', 'epigenetic', 'drug', 'epidrug', 'target', 'mechanism', 'offer', 'promise', 'avenue', 'therapeutic', 'intervention', 'osteoporosis', 'review', 'comprehensively', 'examine', 'recent', 'advancement', 'application', 'epidrug', 'treat', 'osteoporosis']"
DNA methylation-mediated Rbpjk suppression protects against fracture nonunion caused by systemic inflammation.,"Challenging skeletal repairs are frequently seen in patients experiencing systemic inflammation. To tackle the complexity and heterogeneity of the skeletal repair process, we performed single-cell RNA sequencing and revealed that progenitor cells were one of the major lineages responsive to elevated inflammation and this response adversely affected progenitor differentiation by upregulation of Rbpjk in fracture nonunion. We then validated the interplay between inflammation (via constitutive activation of Ikk2, Ikk2ca) and Rbpjk specifically in progenitors by using genetic animal models. Focusing on epigenetic regulation, we identified Rbpjk as a direct target of Dnmt3b. Mechanistically, inflammation decreased Dnmt3b expression in progenitor cells, consequently leading to Rbpjk upregulation via hypomethylation within its promoter region. We also showed that Dnmt3b loss-of-function mice phenotypically recapitulated the fracture repair defects observed in Ikk2ca-transgenic mice, whereas Dnmt3b-transgenic mice alleviated fracture repair defects induced by Ikk2ca. Moreover, Rbpjk ablation restored fracture repair in both Ikk2ca mice and Dnmt3b loss-of-function mice. Altogether, this work elucidates a common mechanism involving a NF-κB/Dnmt3b/Rbpjk axis within the context of inflamed bone regeneration. Building on this mechanistic insight, we applied local treatment with epigenetically modified progenitor cells in a previously established mouse model of inflammation-mediated fracture nonunion and showed a functional restoration of bone regeneration under inflammatory conditions through an increase in progenitor differentiation potential.",The Journal of clinical investigation,"['challenge', 'skeletal', 'repair', 'frequently', 'see', 'patient', 'experience', 'systemic', 'inflammation', 'tackle', 'complexity', 'heterogeneity', 'skeletal', 'repair', 'process', 'perform', 'single', 'cell', 'rna', 'sequence', 'reveal', 'progenitor', 'cell', 'one', 'major', 'lineage', 'responsive', 'elevated', 'inflammation', 'response', 'adversely', 'affect', 'progenitor', 'differentiation', 'upregulation', 'rbpjk', 'fracture', 'nonunion', 'validate', 'interplay', 'inflammation', 'via', 'constitutive', 'activation', 'ikk2', 'ikk2ca', 'rbpjk', 'specifically', 'progenitor', 'use', 'genetic', 'animal', 'model', 'focus', 'epigenetic', 'regulation', 'identify', 'rbpjk', 'direct', 'target', 'dnmt3b', 'mechanistically', 'inflammation', 'decrease', 'dnmt3b', 'expression', 'progenitor', 'cell', 'consequently', 'lead', 'rbpjk', 'upregulation', 'via', 'hypomethylation', 'within', 'promoter', 'region', 'also', 'show', 'dnmt3b', 'loss', 'function', 'mouse', 'phenotypically', 'recapitulate', 'fracture', 'repair', 'defect', 'observe', 'ikk2ca', 'transgenic', 'mouse', 'whereas', 'dnmt3b', 'transgenic', 'mouse', 'alleviate', 'fracture', 'repair', 'defect', 'induce', 'ikk2ca', 'moreover', 'rbpjk', 'ablation', 'restore', 'fracture', 'repair', 'ikk2ca', 'mouse', 'dnmt3b', 'loss', 'function', 'mouse', 'altogether', 'work', 'elucidate', 'common', 'mechanism', 'involve', 'nf', 'κb', 'dnmt3b', 'rbpjk', 'axis', 'within', 'context', 'inflame', 'bone', 'regeneration', 'building', 'mechanistic', 'insight', 'apply', 'local', 'treatment', 'epigenetically', 'modify', 'progenitor', 'cell', 'previously', 'establish', 'mouse', 'model', 'inflammation', 'mediate', 'fracture', 'nonunion', 'show', 'functional', 'restoration', 'bone', 'regeneration', 'inflammatory', 'condition', 'increase', 'progenitor', 'differentiation', 'potential']"
Bi-directional neuro-immune dysfunction after chronic experimental brain injury.,"It is well established that traumatic brain injury (TBI) causes acute and chronic alterations in systemic immune function and that systemic immune changes contribute to posttraumatic neuroinflammation and neurodegeneration. However, how TBI affects bone marrow (BM) hematopoietic stem/progenitor cells chronically and to what extent such changes may negatively impact innate immunity and neurological function has not been examined.",Journal of neuroinflammation,"['well', 'establish', 'traumatic', 'brain', 'injury', 'tbi', 'cause', 'acute', 'chronic', 'alteration', 'systemic', 'immune', 'function', 'systemic', 'immune', 'change', 'contribute', 'posttraumatic', 'neuroinflammation', 'neurodegeneration', 'however', 'tbi', 'affect', 'bone', 'marrow', 'bm', 'hematopoietic', 'stem', 'progenitor', 'cell', 'chronically', 'extent', 'change', 'may', 'negatively', 'impact', 'innate', 'immunity', 'neurological', 'function', 'examine']"
Stress and trauma: BDNF control of dendritic-spine formation and regression.,"Chronic restraint stress leads to increases in brain derived neurotrophic factor (BDNF) mRNA and protein in some regions of the brain, e.g. the basal lateral amygdala (BLA) but decreases in other regions such as the CA3 region of the hippocampus and dendritic spine density increases or decreases in line with these changes in BDNF. Given the powerful influence that BDNF has on dendritic spine growth, these observations suggest that the fundamental reason for the direction and extent of changes in dendritic spine density in a particular region of the brain under stress is due to the changes in BDNF there. The most likely cause of these changes is provided by the stress initiated release of steroids, which readily enter neurons and alter gene expression, for example that of BDNF. Of particular interest is how glucocorticoids and mineralocorticoids tend to have opposite effects on BDNF gene expression offering the possibility that differences in the distribution of their receptors and of their downstream effects might provide a basis for the differential transcription of the BDNF genes. Alternatively, differences in the extent of methylation and acetylation in the epigenetic control of BDNF transcription are possible in different parts of the brain following stress. Although present evidence points to changes in BDNF transcription being the major causal agent for the changes in spine density in different parts of the brain following stress, steroids have significant effects on downstream pathways from the TrkB receptor once it is acted upon by BDNF, including those that modulate the density of dendritic spines. Finally, although glucocorticoids play a canonical role in determining BDNF modulation of dendritic spines, recent studies have shown a role for corticotrophin releasing factor (CRF) in this regard. There is considerable improvement in the extent of changes in spine size and density in rodents with forebrain specific knockout of CRF receptor 1 (CRFR1) even when the glucocorticoid pathways are left intact. It seems then that CRF does have a role to play in determining BDNF control of dendritic spines.",Progress in neurobiology,"['chronic', 'restraint', 'stress', 'lead', 'increase', 'brain', 'derive', 'neurotrophic', 'factor', 'bdnf', 'mrna', 'protein', 'region', 'brain', 'e', 'g', 'basal', 'lateral', 'amygdala', 'bla', 'decrease', 'region', 'ca3', 'region', 'hippocampus', 'dendritic', 'spine', 'density', 'increase', 'decrease', 'line', 'change', 'bdnf', 'give', 'powerful', 'influence', 'bdnf', 'dendritic', 'spine', 'growth', 'observation', 'suggest', 'fundamental', 'reason', 'direction', 'extent', 'change', 'dendritic', 'spine', 'density', 'particular', 'region', 'brain', 'stress', 'due', 'change', 'bdnf', 'likely', 'cause', 'change', 'provide', 'stress', 'initiate', 'release', 'steroid', 'readily', 'enter', 'neuron', 'alter', 'gene', 'expression', 'example', 'bdnf', 'particular', 'interest', 'glucocorticoid', 'mineralocorticoid', 'tend', 'opposite', 'effect', 'bdnf', 'gene', 'expression', 'offer', 'possibility', 'difference', 'distribution', 'receptor', 'downstream', 'effect', 'might', 'provide', 'basis', 'differential', 'transcription', 'bdnf', 'gene', 'alternatively', 'difference', 'extent', 'methylation', 'acetylation', 'epigenetic', 'control', 'bdnf', 'transcription', 'possible', 'different', 'part', 'brain', 'follow', 'stress', 'although', 'present', 'evidence', 'point', 'change', 'bdnf', 'transcription', 'major', 'causal', 'agent', 'change', 'spine', 'density', 'different', 'part', 'brain', 'follow', 'stress', 'steroid', 'significant', 'effect', 'downstream', 'pathway', 'trkb', 'receptor', 'act', 'upon', 'bdnf', 'include', 'modulate', 'density', 'dendritic', 'spine', 'finally', 'although', 'glucocorticoid', 'play', 'canonical', 'role', 'determine', 'bdnf', 'modulation', 'dendritic', 'spine', 'recent', 'study', 'show', 'role', 'corticotrophin', 'releasing', 'factor', 'crf', 'regard', 'considerable', 'improvement', 'extent', 'change', 'spine', 'size', 'density', 'rodent', 'forebrain', 'specific', 'knockout', 'crf', 'receptor', '1', 'crfr1', 'even', 'glucocorticoid', 'pathway', 'leave', 'intact', 'seem', 'crf', 'role', 'play', 'determine', 'bdnf', 'control', 'dendritic', 'spine']"
Osteoarthritis year in review 2020: imaging.,"This narrative ""Year in Review"" highlights a selection of articles published between January 2019 and April 2020, to be presented at the OARSI World Congress 2020 within the field of osteoarthritis (OA) imaging. Articles were obtained from a PubMed search covering the above period, utilizing a variety of relevant search terms. We then selected original and review studies on OA-related imaging in humans, particularly those with direct clinical relevance, with a focus on the knee. Topics selected encompassed clinically relevant models of early OA, particularly imaging applications on cruciate ligament rupture, as these are of direct clinical interest and provide potential opportunity to evaluate preventive therapy. Further, imaging applications on structural modification of articular tissues in patients with established OA, by non-pharmacological, pharmacological and surgical interventions are summarized. Finally, novel deep learning approaches to imaging are reviewed, as these facilitate implementation and scaling of quantitative imaging application in clinical trials and clinical practice. Methodological or observational studies outside these key focus areas were not included. Studies focused on biology, biomechanics, biomarkers, genetics and epigenetics, and clinical studies that did not contain an imaging component are covered in other articles within the OARSI ""Year in Review"" series. In conclusion, exciting progress has been made in clinically validating human models of early OA, and the field of automated articular tissue segmentation. Most importantly though, it has been shown that structure modification of articular cartilage is possible, and future research should focus on the translation of these structural findings to clinical benefit.",Osteoarthritis and cartilage,"['narrative', 'year', 'review', 'highlight', 'selection', 'article', 'publish', 'january', '2019', 'april', '2020', 'present', 'oarsi', 'world', 'congress', '2020', 'within', 'field', 'osteoarthritis', 'oa', 'image', 'article', 'obtain', 'pubme', 'search', 'covering', 'period', 'utilize', 'variety', 'relevant', 'search', 'term', 'select', 'original', 'review', 'study', 'oa', 'related', 'imaging', 'human', 'particularly', 'direct', 'clinical', 'relevance', 'focus', 'knee', 'topic', 'select', 'encompass', 'clinically', 'relevant', 'model', 'early', 'oa', 'particularly', 'imaging', 'application', 'cruciate', 'ligament', 'rupture', 'direct', 'clinical', 'interest', 'provide', 'potential', 'opportunity', 'evaluate', 'preventive', 'therapy', 'imaging', 'application', 'structural', 'modification', 'articular', 'tissue', 'patient', 'establish', 'oa', 'non', 'pharmacological', 'pharmacological', 'surgical', 'intervention', 'summarize', 'finally', 'novel', 'deep', 'learning', 'approach', 'imaging', 'review', 'facilitate', 'implementation', 'scale', 'quantitative', 'imaging', 'application', 'clinical', 'trial', 'clinical', 'practice', 'methodological', 'observational', 'study', 'outside', 'key', 'focus', 'area', 'include', 'study', 'focus', 'biology', 'biomechanic', 'biomarker', 'genetic', 'epigenetic', 'clinical', 'study', 'contain', 'imaging', 'component', 'cover', 'article', 'within', 'oarsi', 'year', 'review', 'series', 'conclusion', 'exciting', 'progress', 'make', 'clinically', 'validate', 'human', 'model', 'early', 'oa', 'field', 'automate', 'articular', 'tissue', 'segmentation', 'importantly', 'though', 'show', 'structure', 'modification', 'articular', 'cartilage', 'possible', 'future', 'research', 'focus', 'translation', 'structural', 'finding', 'clinical', 'benefit']"
Epigenetic and epitranscriptomic regulation of axon regeneration.,"Effective axonal regeneration in the adult mammalian nervous system requires coordination of elevated intrinsic growth capacity and decreased responses to the inhibitory environment. Intrinsic regenerative capacity largely depends on the gene regulatory network and protein translation machinery. A failure to activate these pathways upon injury is underlying a lack of robust axon regeneration in the mature mammalian central nervous system. Epigenetics and epitranscriptomics are key regulatory mechanisms that shape gene expression and protein translation. Here, we provide an overview of different types of modifications on DNA, histones, and RNA, underpinning the regenerative competence of axons in the mature mammalian peripheral and central nervous systems. We highlight other non-neuronal cells and their epigenetic changes in determining the microenvironment for tissue repair and axon regeneration. We also address advancements of single-cell technology in charting transcriptomic and epigenetic landscapes that may further facilitate the mechanistic understanding of differential regenerative capacity in neuronal subtypes. Finally, as epigenetic and epitranscriptomic processes are commonly affected by brain injuries and psychiatric disorders, understanding their alterations upon brain injury would provide unprecedented mechanistic insights into etiology of injury-associated-psychiatric disorders and facilitate the development of therapeutic interventions to restore brain function.",Molecular psychiatry,"['effective', 'axonal', 'regeneration', 'adult', 'mammalian', 'nervous', 'system', 'require', 'coordination', 'elevate', 'intrinsic', 'growth', 'capacity', 'decrease', 'response', 'inhibitory', 'environment', 'intrinsic', 'regenerative', 'capacity', 'largely', 'depend', 'gene', 'regulatory', 'network', 'protein', 'translation', 'machinery', 'failure', 'activate', 'pathway', 'upon', 'injury', 'underlie', 'lack', 'robust', 'axon', 'regeneration', 'mature', 'mammalian', 'central', 'nervous', 'system', 'epigenetic', 'epitranscriptomic', 'key', 'regulatory', 'mechanism', 'shape', 'gene', 'expression', 'protein', 'translation', 'provide', 'overview', 'different', 'type', 'modification', 'dna', 'histone', 'rna', 'underpin', 'regenerative', 'competence', 'axon', 'mature', 'mammalian', 'peripheral', 'central', 'nervous', 'system', 'highlight', 'non', 'neuronal', 'cell', 'epigenetic', 'change', 'determine', 'microenvironment', 'tissue', 'repair', 'axon', 'regeneration', 'also', 'address', 'advancement', 'single', 'cell', 'technology', 'chart', 'transcriptomic', 'epigenetic', 'landscape', 'may', 'facilitate', 'mechanistic', 'understanding', 'differential', 'regenerative', 'capacity', 'neuronal', 'subtype', 'finally', 'epigenetic', 'epitranscriptomic', 'process', 'commonly', 'affect', 'brain', 'injury', 'psychiatric', 'disorder', 'understand', 'alteration', 'upon', 'brain', 'injury', 'would', 'provide', 'unprecedented', 'mechanistic', 'insight', 'etiology', 'injury', 'associate', 'psychiatric', 'disorder', 'facilitate', 'development', 'therapeutic', 'intervention', 'restore', 'brain', 'function']"
